Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Angle in,Path length,Comment,InputAngle
3,0.0,-2.4053896917,-2.8651629717,0.0,0.6247162824,0.7808518211,0.0,-0.3817502765,-0.9242655065,15.752806493,0.65459029078,Cornea Back / Aqueous,45.0
4,0.0,-0.11313152954,0.0,0.0,0.6247162824,0.7808518211,0.0,0.0,-1.0,38.661366368,3.6692787216,Pupil,45.0
5,0.0,-0.1126340273,0.0006218431294,0.0,0.5890185587,0.808119507,0.0,-0.0110404439,-0.9999390524,38.028782675,0.00079636508827,Lens Front,45.0
6,0.0,1.9621973297,2.8472413062,0.0,0.6067493158,0.794893243,-0.0,-0.2900015928,-0.9570261628,19.22934166,3.5225228924,Lens Back / Vitreous,45.0
7,0.0,10.388088262,13.885875539,0.0,0.6067493158,0.794893243,-0.0,-0.8930482254,-0.4499609618,25.903994013,13.886939322,Retina,45.0
OBJ,inf,inf,inf,0.0,0.8191520443,0.5735764364,,,,,,,55.0
1,0.0,-6.1939286054,-4.9065,0.0,0.8191520443,0.5735764364,0.0,0.0,-1.0,55.0,-0.0,Input beam,55.0
2,0.0,-3.5467060241,-3.0528947933,0.0,0.7294513048,0.6840327433,0.0,-0.4499337598,-0.8930619306,28.260565875,3.2316620579,Cornea Front,55.0
3,0.0,-3.0291899747,-2.5676013671,0.0,0.7359484037,0.6770376261,0.0,-0.4778145285,-0.8784607426,18.29765226,0.70945935118,Cornea Back / Aqueous,55.0
4,0.0,-0.23817503774,0.0,0.0,0.7359484037,0.6770376261,0.0,0.0,-1.0,47.387415837,3.7924057218,Pupil,55.0
5,0.0,-0.23522751209,0.002711583797,0.0,0.6948294776,0.7191745247,0.0,-0.0230423404,-0.99973449,46.067070126,0.0040050710514,Lens Front,55.0
6,0.0,2.3815090516,2.7111319014,0.0,0.7158433818,0.6982608773,-0.0,-0.3259961373,-0.9453711009,24.987693756,3.7660125943,Lens Back / Vitreous,55.0
7,0.0,11.313897756,11.424123782,0.0,0.7158433818,0.6982608773,-0.0,-0.9681137384,-0.2505110566,29.779884009,12.478132692,Retina,55.0
OBJ,inf,inf,inf,0.0,0.906307787,0.4226182617,,,,,,,65.0
1,0.0,-9.3008026456,-4.9065,0.0,0.906307787,0.4226182617,0.0,0.0,-1.0,65.0,-0.0,Input beam,65.0
2,0.0,-4.3435287792,-2.5948852325,0.0,0.8253396995,0.564636503,0.0,-0.5447058536,-0.8386271717,31.995435011,5.4697465224,Cornea Front,65.0
3,0.0,-3.6958622339,-2.1517995874,0.0,0.8313217707,0.55579143,0.0,-0.5783339459,-0.8158001268,20.289500373,0.78472724105,Cornea Back / Aqueous,65.0
4,0.0,-0.47732062535,0.0,0.0,0.8313217707,0.55579143,0.0,0.0,-1.0,56.234756173,3.8715954786,Pupil,65.0
5,0.0,-0.4617075766,0.010438315221,0.0,0.7869777103,0.6169814288,0.0,-0.0451209204,-0.9989815326,53.648639849,0.018780993477,Lens Front,65.0
6,0.0,2.7929808984,2.5620764612,0.0,0.8102434577,0.5860934561,-0.0,-0.3540333817,-0.9352327863,31.169749851,4.1356806329,Lens Back / Vitreous,65.0
7,0.0,11.691614612,8.9989454527,0.0,0.8102434577,0.5860934561,-0.0,-0.9984322109,-0.0559742814,32.671508142,10.982666542,Retina,65.0
OBJ,inf,inf,inf,0.0,0.9659258263,0.2588190451,,,,,,,75.0
1,0.0,-16.186036843,-4.9065,0.0,0.9659258263,0.2588190451,0.0,0.0,-1.0,75.0,-0.0,Input beam,75.0
2,0.0,-5.1980046792,-1.9622656554,0.0,0.9032910711,0.4290282518,0.0,-0.6424420832,-0.7663342416,35.025838537,11.375647968,Cornea Front,75.0
3,0.0,-4.3963140957,-1.5814936978,0.0,0.9081543393,0.418635517,0.0,-0.6811498098,-0.7321440682,21.660534938,0.88752187315,Cornea Back / Aqueous,75.0
4,0.0,-0.96554841558,0.0,0.0,0.9081543393,0.418635517,0.0,0.0,-1.0,65.251528093,3.7777341712,Pupil Vignetted,75.0
5,0.0,-0.88297083634,0.038066115067,0.0,0.8644172455,0.5027751244,0.0,-0.0855675807,-0.9963323688,60.34286433,0.090929014674,Lens Front,75.0
6,0.0,3.1892502462,2.4066114815,0.0,0.8884226439,0.4590263671,-0.0,-0.3755661462,-0.9267955923,37.75692033,4.7109438224,Lens Back / Vitreous,75.0
7,0.0,11.616108718,6.7605642505,0.0,0.8884226439,0.4590263671,0.0,-0.9923861296,0.1231656193,34.399133504,9.4851910055,Retina,75.0
OBJ,inf,inf,inf,0.0,0.9961946981,0.0871557427,,,,,,,85.0
1,0.0,-49.572542611,-4.9065,0.0,0.9961946981,0.0871557427,0.0,0.0,-1.0,85.0,-0.0,Input beam,85.0
2,0.0,-6.0920242267,-1.1024475572,0.0,0.9603088603,0.2789388694,0.0,-0.7399100035,-0.6727058694,37.276250186,43.646606901,Cornea Front,85.0
3,0.0,-5.1051453989,-0.8157909659,0.0,0.9635579333,0.2674997368,0.0,-0.7818993323,-0.6234047114,22.368309736,1.0276681478,Cornea Back / Aqueous,85.0
4,0.0,-2.166593509,0.0,0.0,0.9635579333,0.2674997368,0.0,0.0,-1.0,74.484459365,3.0496888546,Pupil Vignetted,85.0
5,0.0,-1.6769786827,0.13592523362,0.0,0.9269649815,0.3751478684,0.0,-0.1578638869,-0.9874608819,65.401529101,0.50813221443,Lens Front,85.0
6,0.0,3.5564617207,2.2539275863,0.0,0.9494117479,0.3140339678,-0.0,-0.3917201552,-0.9200844092,44.904972802,5.6457800543,Lens Back / Vitreous,85.0
7,0.0,11.206051257,4.7841584997,0.0,0.9494117479,0.3140339678,0.0,-0.959423906,0.2819676729,34.680181906,8.0571886258,Retina,85.0
