Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
1,0.0,-6.1939286054,-4.9065,0.0,0.8191520443,0.5735764364,"0,0000000000",0.0,-1.0,55.0,-0.0,Inputbeam,,55.0
2,0.0,-3.5467060241,-3.0528947933,0.0,0.7294513048,0.6840327433,"0,0000000000",-0.4499337598,-0.8930619306,28.260565875,3.2316620579,CorneaFront,,55.0
3,0.0,-3.0291899747,-2.5676013671,0.0,0.7359484037,0.6770376261,"0,0000000000",-0.4778145285,-0.8784607426,18.29765226,0.70945935118,CorneaBack/Aqueous,,55.0
4,0.0,-0.23817503774,0.0,0.0,0.7359484037,0.6770376261,"0,0000000000",0.0,-1.0,47.387415837,3.7924057218,Pupil,,55.0
5,0.0,-0.23522751209,0.002711583797,0.0,0.6948294776,0.7191745247,"0,0000000000",-0.0230423404,-0.99973449,46.067070126,0.0040050710514,LensFront,,55.0
6,0.0,2.3815090516,2.7111319014,0.0,0.7158433818,0.6982608773,"-0,0000000000",-0.3259961373,-0.9453711009,24.987693756,3.7660125943,LensBack/Vitreous,,55.0
7,0.0,11.493004745,11.598831556,0.0,0.7158433818,0.6982608773,"-0,0000000000",-0.9653782675,-0.2608539833,29.166899428,12.728336848,Retina,,55.0
OBJ,inf,inf,inf,0.0,0.906307787,0.4226182617,-----,,,,,,,65.0
1,0.0,-9.3008026456,-4.9065,0.0,0.906307787,0.4226182617,"0,0000000000",0.0,-1.0,65.0,-0.0,Inputbeam,,65.0
2,0.0,-4.3435287792,-2.5948852325,0.0,0.8253396995,0.564636503,"0,0000000000",-0.5447058536,-0.8386271717,31.995435011,5.4697465224,CorneaFront,,65.0
3,0.0,-3.6958622339,-2.1517995874,0.0,0.8313217707,0.55579143,"0,0000000000",-0.5783339459,-0.8158001268,20.289500373,0.78472724105,CorneaBack/Aqueous,,65.0
4,0.0,-0.47732062535,0.0,0.0,0.8313217707,0.55579143,"0,0000000000",0.0,-1.0,56.234756173,3.8715954786,Pupil,,65.0
5,0.0,-0.4617075766,0.010438315221,0.0,0.7869777103,0.6169814288,"0,0000000000",-0.0451209204,-0.9989815326,53.648639849,0.018780993477,LensFront,,65.0
6,0.0,2.7929808984,2.5620764612,0.0,0.8102434577,0.5860934561,"-0,0000000000",-0.3540333817,-0.9352327863,31.169749851,4.1356806329,LensBack/Vitreous,,65.0
7,0.0,11.887568564,9.1406896751,0.0,0.8102434577,0.5860934561,"-0,0000000000",-0.9985204565,-0.0543773653,32.763144294,11.224512311,Retina,,65.0
OBJ,inf,inf,inf,0.0,0.9659258263,0.2588190451,-----,,,,,,,75.0
